Type,Method,ComponentArrangement,Managed,Managed_ArcheType,Native,Native_ArcheType,Native_ArcheType_Continous
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2_Shared_x2,380.836,1927.018,169.798,1605.579,2130.594
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1,15.644,115.950,31.177,47.474,56.574
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2,15.680,151.026,31.775,59.512,68.916
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Shared_x1,15.634,118.606,31.850,47.464,56.280
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Shared_x2,15.606,143.505,31.585,59.665,69.001
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1_Shared_x1,15.844,143.789,31.480,60.085,69.294
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x1_Shared_x2,15.772,172.481,31.574,73.852,82.646
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2_Shared_x1,15.760,172.863,32.251,74.798,83.313
EcsContext_EntityComponentLifeTest,RemoveAllComponents,Normal_x2_Shared_x2,15.740,200.555,31.849,86.981,94.732
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1,32.123,183.599,57.597,79.114,88.416
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2,63.352,675.993,100.579,340.716,508.470
EcsContext_EntityComponentLifeTest,RemoveComponent,Shared_x1,32.576,185.221,58.069,79.661,88.643
EcsContext_EntityComponentLifeTest,RemoveComponent,Shared_x2,62.064,772.472,103.015,425.237,591.462
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1_Shared_x1,62.907,726.675,100.490,426.664,600.345
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x1_Shared_x2,94.396,1325.133,143.478,841.804,1212.238
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2_Shared_x1,93.585,1209.351,143.820,837.878,1204.417
EcsContext_EntityComponentLifeTest,RemoveComponent,Normal_x2_Shared_x2,123.504,1873.886,190.812,1308.988,1869.885
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1,84.699,103.040,53.061,76.446,77.280
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2,198.154,200.818,88.802,156.188,158.645
EcsContext_EntityComponentLifeTest,ReplaceComponent,Shared_x1,84.564,503.042,52.534,379.595,400.153
EcsContext_EntityComponentLifeTest,ReplaceComponent,Shared_x2,198.268,1016.984,89.242,913.295,1115.336
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1_Shared_x1,200.111,700.472,85.770,518.758,527.533
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x1_Shared_x2,348.621,1267.707,124.275,1124.526,1309.726
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2_Shared_x1,335.677,852.502,125.794,664.866,679.377
EcsContext_EntityComponentLifeTest,ReplaceComponent,Normal_x2_Shared_x2,393.350,1513.164,164.828,1285.382,1481.295
EcsContext_EntityGetTest,GetEntities,?,4.106,4.347,3.624,3.662,3.629
EcsContext_EntityGetTest,HasEntity,?,6.015,6.079,5.726,5.724,5.815
EcsContext_EntityLifeTest,CreateEntites,?,22.839,90.618,12.693,17.755,18.430
EcsContext_EntityLifeTest,CreateEntity,?,25.534,67.514,25.952,35.670,37.597
EcsContext_EntityLifeTest,DestroyEntities,?,21.930,19.465,53.332,18.011,21.657
EcsContext_EntityLifeTest,DestroyEntity,?,22.562,28.363,58.602,27.739,31.104
