Type,Method,ComponentArrangement,Managed,Managed_ArcheType,Native,Native_ArcheType,Native_ArcheType_Continous
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1,37.648,57.759,31.707,20.229,23.157
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2,37.275,63.804,31.415,20.776,23.781
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x1,37.192,58.197,31.453,20.304,23.041
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Shared_x2,37.204,64.148,30.966,20.937,24.396
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x1,37.314,65.328,30.680,21.147,23.933
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x1_Shared_x2,37.393,66.628,31.232,20.712,23.604
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x1,37.064,66.400,30.652,20.628,23.859
EcsContext_EntityBlueprintLifeTest,CreateEntitiesBlueprint,Normal_x2_Shared_x2,38.204,73.791,31.157,20.878,23.807
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1,42.534,187.599,258.015,159.950,163.685
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2,57.854,198.151,333.965,170.000,177.048
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x1,43.076,188.267,258.532,158.902,167.125
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Shared_x2,58.403,207.889,334.565,170.400,176.307
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x1,58.808,204.012,332.929,170.703,174.539
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x1_Shared_x2,75.245,211.465,402.787,179.298,184.162
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x1,73.958,213.450,401.250,179.894,182.679
EcsContext_EntityBlueprintLifeTest,CreateEntityBlueprint,Normal_x2_Shared_x2,91.245,224.705,449.417,188.054,191.901
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1,148.476,25.978,263.166,254.095,254.154
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2,175.016,44.113,496.620,481.710,482.263
EcsContext_EntityComponentGetTest,GetAllComponents,Shared_x1,147.947,26.821,290.000,253.187,251.412
EcsContext_EntityComponentGetTest,GetAllComponents,Shared_x2,175.084,45.439,531.533,487.603,476.676
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1_Shared_x1,172.984,44.837,516.195,484.672,484.148
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x1_Shared_x2,198.992,63.519,751.470,718.522,716.113
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2_Shared_x1,198.242,60.988,740.206,707.044,708.633
EcsContext_EntityComponentGetTest,GetAllComponents,Normal_x2_Shared_x2,201.633,81.394,995.416,950.651,945.859
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1,26.525,98.162,51.306,60.551,59.968
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2,51.808,195.710,85.186,122.178,123.606
EcsContext_EntityComponentGetTest,GetComponent,Shared_x1,26.430,92.069,50.174,58.540,59.116
EcsContext_EntityComponentGetTest,GetComponent,Shared_x2,51.581,182.915,84.145,120.968,121.872
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1_Shared_x1,51.002,190.942,84.095,122.246,122.606
EcsContext_EntityComponentGetTest,GetComponent,Normal_x1_Shared_x2,78.163,293.964,121.696,187.881,188.359
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2_Shared_x1,78.326,293.725,121.250,188.354,191.000
EcsContext_EntityComponentGetTest,GetComponent,Normal_x2_Shared_x2,101.870,393.182,160.186,259.258,259.111
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1,21.100,63.572,34.039,25.327,25.921
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2,40.355,129.437,50.655,52.623,52.784
EcsContext_EntityComponentGetTest,HasComponent,Shared_x1,20.870,59.479,33.276,25.123,25.111
EcsContext_EntityComponentGetTest,HasComponent,Shared_x2,39.916,119.461,49.343,52.079,51.954
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1_Shared_x1,39.778,127.067,49.792,52.369,52.499
EcsContext_EntityComponentGetTest,HasComponent,Normal_x1_Shared_x2,60.482,193.629,67.408,80.746,80.868
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2_Shared_x1,60.506,192.982,68.253,80.863,81.874
EcsContext_EntityComponentGetTest,HasComponent,Normal_x2_Shared_x2,79.533,260.506,86.197,111.287,112.294
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1,75.159,267.505,53.535,242.972,255.864
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2,187.296,674.864,91.383,555.554,723.600
EcsContext_EntityComponentLifeTest,AddComponent,Shared_x1,75.254,305.848,52.517,347.153,355.293
EcsContext_EntityComponentLifeTest,AddComponent,Shared_x2,186.863,862.203,92.119,795.844,964.297
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1_Shared_x1,188.386,729.435,90.576,673.420,843.603
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x1_Shared_x2,295.424,1326.087,130.911,1201.060,1546.917
EcsContext_EntityComponentLifeTest,AddComponent,Normal_x2_Shared_x1,293.258,1206.445,130.361,1050.425,1392.916
