Name,Time,ParallelTime,Memory MB
EcsContext_ComponentLife_AddComponent_Shared,443,563,1235.84
EcsContext_ComponentLife_AddComponent_SharedX2,1898,1865,1468.99
EcsContext_ComponentLife_AddComponent_SharedX3,3673,3721,1474.45
EcsContext_ComponentLife_AddComponent_Standard,301,498,1590.87
EcsContext_ComponentLife_AddComponent_StandardX2,1282,1431,1604.36
EcsContext_ComponentLife_AddComponent_StandardX3,2251,2555,1144.24
EcsContext_ComponentLife_AddRemoveComponent_Unique,1211,-1,519.38
EcsContext_ComponentLife_AddRemoveComponent_UniqueX2,3228,-1,165.69
EcsContext_ComponentLife_AddRemoveComponent_UniqueX3,5249,-1,164.84
EcsContext_ComponentLife_RemoveAllComponents,133,310,1128.95
EcsContext_ComponentLife_RemoveComponent_Shared,368,365,1132.09
EcsContext_ComponentLife_RemoveComponent_SharedX2,1843,1419,1201.14
EcsContext_ComponentLife_RemoveComponent_SharedX3,3391,3176,1535.05
EcsContext_ComponentLife_RemoveComponent_Standard,357,463,1136.21
EcsContext_ComponentLife_RemoveComponent_StandardX2,1392,1350,1506.27
EcsContext_ComponentLife_RemoveComponent_StandardX3,2411,2057,1324.58
EcsContext_ComponentLife_ReplaceComponent_Shared,125,13,1502.79
EcsContext_ComponentLife_ReplaceComponent_SharedX2,3478,2065,1293.2
EcsContext_ComponentLife_ReplaceComponent_SharedX3,6130,3878,1465.32
EcsContext_ComponentLife_ReplaceComponent_Standard,123,14,1545.81
EcsContext_ComponentLife_ReplaceComponent_StandardX2,326,31,1172.66
EcsContext_ComponentLife_ReplaceComponent_StandardX3,486,47,1268.16
EcsContext_ComponentLife_ReplaceComponent_Unique,123,-1,525.99
EcsContext_ComponentLife_ReplaceComponent_UniqueX2,299,-1,166.58
EcsContext_ComponentLife_ReplaceComponent_UniqueX3,448,-1,166.59
EcsContext_EcsContext_FilterAll,171,305,192.69
EcsContext_EcsContext_FilterAll_GroupWith,559,1122,176.28
EcsContext_EcsContext_FilterAll_GroupWithX10,1017,2001,177.16
EcsContext_EcsContext_FilterAll_GroupWithX2,624,1281,176.21
EcsContext_EcsContext_FilterOne,157,277,189.58
EcsContext_EcsContext_FilterOne_GroupWith,632,1186,176.41
EcsContext_EcsContext_FilterOne_GroupWithX10,1014,2020,176.92
EcsContext_EcsContext_FilterOne_GroupWithX2,637,1265,176.7
EcsContext_EcsContext_GroupWith,609,1210,176.8
EcsContext_EcsContext_GroupWithX10,1063,2005,177.13
EcsContext_EcsContext_GroupWithX2,721,1226,176.64
EcsContext_EntityLife_CreateEntities,38,-1,573.64
EcsContext_EntityLife_CreateEntitiesBlueprint_Shared,143,-1,814.79
EcsContext_EntityLife_CreateEntitiesBlueprint_SharedStandard,191,-1,710.94
EcsContext_EntityLife_CreateEntitiesBlueprint_Standard,133,-1,676.2
EcsContext_EntityLife_CreateEntity,429,579,1855.76
EcsContext_EntityLife_CreateEntityBlueprint_Shared,744,758,1922.62
