Name,Time,ParallelTime,Memory MB
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_Shared,521,-1,733.97
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_SharedStandard,487,-1,834.96
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_Standard,429,-1,813.64
EntityCommandQueue_EntityLife_CreateEntity,481,676,1110.8
EntityCommandQueue_EntityLife_CreateEntityBlueprint_Shared,837,1148,1053.75
EntityCommandQueue_EntityLife_CreateEntityBlueprint_SharedStandard,795,1025,1062.85
EntityCommandQueue_EntityLife_CreateEntityBlueprint_Standard,722,922,1057.21
EntityCommandQueue_EntityLife_DestroyEntities,166,-1,1116.09
EntityCommandQueue_EntityLife_DestroyEntity,216,414,921.7
EntityFilter_Create_AfterEntities,184,-1,614.11
EntityFilter_Create_BeforeEntities,372,659,1618.46
EntityFilter_GetEntity_GetEntities,49,-1,1205.52
EntityFilter_GetEntity_HasEntity,32,25,2374.22
EntityFilter_GetWatcher_WatchAdded,248,418,784.42
EntityFilter_GetWatcher_WatchAddedOrRemoved,225,457,196.92
EntityFilter_GetWatcher_WatchAddedOrUpdated,233,409,197.38
EntityFilter_GetWatcher_WatchRemoved,197,468,196.91
EntityFilter_GetWatcher_WatchUpdated,209,412,197.38
EntityFilterGroup_Create_AfterEntities,658,-1,683.84
EntityFilterGroup_Create_BeforeEntities,1559,1593,1253.54
EntityFilterGroup_GetEntity_GetEntities,46,-1,1591.97
EntityFilterGroup_GetEntity_HasEntities,30,24,2503.65
EntityFilterGroup_GetWatcher_WatchAdded,202,352,776.59
EntityFilterGroup_GetWatcher_WatchAddedOrRemoved,222,368,197.47
EntityFilterGroup_GetWatcher_WatchAddedOrUpdated,232,394,197.03
EntityFilterGroup_GetWatcher_WatchRemoved,203,401,197.04
EntityFilterGroup_GetWatcher_WatchUpdated,208,349,197.03
EntityGroup_Create_AfterEntities,687,-1,814.38
EntityGroup_Create_BeforeEntities,481,567,1252.77
EntityGroup_GetEntity_GetEntities,47,-1,1767.74
EntityGroup_GetEntity_HasEntity,33,24,2475.46
EntityGroup_GetWatcher_WatchAdded,217,411,1282.82
EntityGroup_GetWatcher_WatchAddedOrRemoved,247,404,197.22
EntityGroup_GetWatcher_WatchAddedOrUpdated,238,379,197.66
EntityGroup_GetWatcher_WatchRemoved,224,406,197.79
EntityGroup_GetWatcher_WatchUpdated,211,390,197.22
