Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ContextType,ComponentArrangement,Mean,Error,StdDev,Gen 0,Gen 1,Allocated
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Native_ArcheType,Normal_x2,481.710 ms,6.4207 ms,5.6918 ms,26000.0000,-,"44,068,392 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Nativ(...)inous [26],Normal_x2,482.263 ms,6.3892 ms,5.9765 ms,26000.0000,-,"44,068,392 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Managed,Shared_x1,147.947 ms,0.5712 ms,0.5343 ms,45750.0000,-,"76,113,916 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Managed_ArcheType,Shared_x1,26.821 ms,0.2701 ms,0.2527 ms,16875.0000,-,"28,041,410 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Native,Shared_x1,290.000 ms,1.0337 ms,0.9670 ms,16500.0000,-,"28,041,656 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Native_ArcheType,Shared_x1,253.187 ms,1.2196 ms,1.0811 ms,16500.0000,-,"28,041,656 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Nativ(...)inous [26],Shared_x1,251.412 ms,0.9943 ms,0.9301 ms,16500.0000,-,"28,041,656 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Managed,Shared_x2,175.084 ms,0.7593 ms,0.7102 ms,48000.0000,-,"80,119,808 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Managed_ArcheType,Shared_x2,45.439 ms,0.3176 ms,0.2971 ms,26500.0000,-,"44,065,003 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Native,Shared_x2,531.533 ms,4.3486 ms,4.0677 ms,26000.0000,-,"44,068,392 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Native_ArcheType,Shared_x2,487.603 ms,2.5364 ms,2.3725 ms,26000.0000,-,"44,068,392 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Nativ(...)inous [26],Shared_x2,476.676 ms,2.1384 ms,2.0002 ms,26000.0000,-,"44,068,392 B"
EcsContext_EntityComponentGetTest,GetAllComponents,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,LegacyJit,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Managed,Normal_x1_Shared_x1,172.984 ms,1.2096 ms,1.1314 ms,48000.0000,-,"80,119,808 B"
